model,model_display,dataset,category_mode,ex,fb
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,ground_truth,34.9,92.9
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,predicted,18.4,64.3
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,no_category,21.2,65.8
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,ground_truth,43.8,92.6
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,predicted,26.5,73.0
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,no_category,27.8,72.7
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,ground_truth,34.3,92.2
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,predicted,18.4,64.9
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,no_category,24.2,70.0
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,ground_truth,42.3,91.1
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,predicted,25.6,72.0
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,no_category,31.0,75.6
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,ground_truth,36.4,94.4
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,predicted,20.0,67.1
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,no_category,22.2,68.3
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,ground_truth,42.9,94.3
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,predicted,25.4,73.9
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,no_category,28.0,75.9
gemma-3-27b-it,Gemma-3-27B,BIRD,ground_truth,28.6,95.0
gemma-3-27b-it,Gemma-3-27B,BIRD,predicted,14.6,63.9
gemma-3-27b-it,Gemma-3-27B,BIRD,no_category,21.4,62.2
gemma-3-27b-it,Gemma-3-27B,Spider,ground_truth,35.4,93.3
gemma-3-27b-it,Gemma-3-27B,Spider,predicted,20.5,70.8
gemma-3-27b-it,Gemma-3-27B,Spider,no_category,26.2,66.3
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,ground_truth,36.6,95.7
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,predicted,19.8,67.4
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,no_category,17.3,55.0
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,ground_truth,49.8,95.8
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,predicted,31.1,75.0
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,no_category,26.1,61.7
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,ground_truth,22.2,90.2
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,predicted,6.7,22.7
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,no_category,11.4,43.5
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,ground_truth,28.9,91.1
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,predicted,10.1,27.4
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,no_category,18.3,52.7
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,ground_truth,25.3,91.4
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,predicted,10.3,58.2
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,no_category,9.8,23.3
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,ground_truth,33.0,92.2
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,predicted,15.5,62.8
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,no_category,11.1,21.0
