model,model_display,dataset,avg_turns,clar_pct,rel_pct,tech_pct,irrel_pct
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,1.38,34.2,66.9,2.1,31.0
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,1.34,31.1,66.9,2.8,30.3
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,1.51,37.4,55.8,3.0,41.2
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,1.44,34.5,55.9,2.7,41.5
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,1.44,33.4,57.2,1.8,41.0
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,1.37,30.0,62.9,1.1,36.0
gemma-3-27b-it,Gemma-3-27B,BIRD,1.82,47.4,33.4,4.1,62.5
gemma-3-27b-it,Gemma-3-27B,Spider,1.82,45.6,29.9,3.1,67.0
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,1.31,28.0,73.0,1.2,25.8
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,1.27,25.5,77.9,0.6,21.4
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,2.35,45.3,48.7,7.3,43.9
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,2.32,44.2,44.6,6.8,48.6
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,1.78,32.0,56.0,3.4,40.6
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,1.59,26.5,57.9,2.3,39.8
