ground_truth,Ans. w/o Ev.,Ans. w/ Ev.,Lex. Vague.,Sem. Entity,Sem. Lexical,Struct. Attach.,Struct. Scope,Confl. Know.,Miss. User Know.,Improper Q.,Miss. Ext. Know.,Miss. Sch. Ent.,Miss. Sch. Rel.
Ans. w/o Ev.,88.4,10.5,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.2
Ans. w/ Ev.,34.6,64.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Lex. Vague.,13.5,5.6,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.1,0.0
Sem. Entity,78.4,14.3,1.1,1.9,0.0,0.0,0.0,0.1,0.3,1.6,1.3,0.1,0.9
Sem. Lexical,83.7,13.1,0.8,0.4,0.4,0.0,0.0,0.4,0.0,0.0,1.2,0.0,0.0
Struct. Attach.,84.9,13.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.0,0.0
Struct. Scope,87.4,9.5,0.2,0.1,0.0,0.0,0.4,0.0,0.0,0.3,1.1,0.1,0.9
Confl. Know.,27.4,30.9,1.2,0.0,0.0,0.0,0.0,38.9,0.0,0.2,1.4,0.1,0.0
Miss. User Know.,14.9,8.7,0.7,0.0,0.0,0.0,0.0,0.0,72.4,1.7,1.5,0.0,0.1
Improper Q.,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,75.0,2.4,2.3,0.2
Miss. Ext. Know.,7.9,11.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,67.2,2.3,0.1
Miss. Sch. Ent.,5.8,8.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,11.2,34.8,35.7,2.4
Miss. Sch. Rel.,63.6,19.7,2.5,0.1,0.0,0.0,0.0,0.0,0.2,0.3,9.1,0.9,3.5
