dataset,category,group,recognition,classification,ex,fb
BIRD,Ans. w/o Ev.,Answerable,98.8,87.6,51.4,
Spider,Ans. w/o Ev.,Answerable,98.9,88.4,66.8,
BIRD,Ans. w/ Ev.,Answerable,98.8,65.5,20.1,
Spider,Ans. w/ Ev.,Answerable,98.9,64.2,32.0,
BIRD,Lex. Vague.,Ambiguous,75.5,75.5,27.2,
Spider,Lex. Vague.,Ambiguous,79.4,79.4,36.3,
BIRD,Sem. Entity,Ambiguous,2.6,1.5,7.7,
Spider,Sem. Entity,Ambiguous,3.4,1.9,7.7,
BIRD,Sem. Lexical,Ambiguous,2.3,,10.0,
Spider,Sem. Lexical,Ambiguous,2.0,0.4,11.3,
BIRD,Struct. Attach.,Ambiguous,0.4,,11.0,
Spider,Struct. Attach.,Ambiguous,0.8,,6.7,
BIRD,Struct. Scope,Ambiguous,1.3,0.3,8.6,
Spider,Struct. Scope,Ambiguous,0.7,0.4,9.8,
BIRD,Confl. Know.,Ambiguous,32.2,30.5,10.9,
Spider,Confl. Know.,Ambiguous,40.1,38.9,14.0,
BIRD,Miss. User Know.,Ambiguous,68.2,67.1,26.7,
Spider,Miss. User Know.,Ambiguous,73.1,72.4,41.1,
BIRD,Improper Q.,Unanswerable,81.2,74.8,,96.5
Spider,Improper Q.,Unanswerable,79.9,75.0,,95.3
BIRD,Miss. Ext. Know.,Unanswerable,66.0,64.5,,69.0
Spider,Miss. Ext. Know.,Unanswerable,71.4,67.2,,72.6
BIRD,Miss. Sch. Ent.,Unanswerable,80.2,31.8,,79.4
Spider,Miss. Sch. Ent.,Unanswerable,84.1,35.7,,84.6
BIRD,Miss. Sch. Rel.,Unanswerable,8.6,2.5,,6.1
Spider,Miss. Sch. Rel.,Unanswerable,13.9,3.5,,9.9
